food_type,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,season,preparation_method,location,pricing,food_wastage_amount,food_consumed,waste_percentage,price_per_kg,revenue_loss,donation_possible,waste_category,event_size
Meat,350,Corporate,450,Refrigerated,Occasional,Winter,Sit-Down Dinner,Rural,Moderate,25,425,5.56,220,5500,Yes,Medium,Medium
Dairy Products,320,Wedding,400,Room Temperature,Regular,All Seasons,Buffet,Urban,High,45,355,11.25,350,15750,No,High,Medium
Meat,400,Wedding,500,Refrigerated,Occasional,All Seasons,Sit-Down Dinner,Suburban,High,45,455,9.0,350,15750,No,High,Large
Fruits,400,Social Gathering,500,Room Temperature,Regular,Summer,Finger Food,Rural,High,40,460,8.0,350,14000,No,High,Large
Meat,380,Social Gathering,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30,450,6.25,220,6600,Yes,Medium,Medium
Meat,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-Down Dinner,Urban,Low,25,475,5.0,120,3000,Yes,Medium,Large
Meat,350,Social Gathering,450,Room Temperature,Regular,Winter,Finger Food,Suburban,High,30,420,6.67,350,10500,Yes,Medium,Medium
Dairy Products,350,Corporate,450,Room Temperature,Regular,Winter,Finger Food,Urban,High,30,420,6.67,350,10500,Yes,Medium,Medium
Fruits,310,Corporate,350,Room Temperature,Occasional,All Seasons,Finger Food,Urban,High,35,315,10.0,350,12250,No,High,Medium
Baked Goods,450,Birthday,500,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,30,470,6.0,350,10500,Yes,Medium,Large
Baked Goods,247,Corporate,348,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,16,332,4.6,220,3520,Yes,Low,Small
Meat,400,Corporate,500,Refrigerated,Occasional,All Seasons,Sit-Down Dinner,Suburban,High,40,460,8.0,350,14000,No,High,Large
Baked Goods,220,Wedding,300,Room Temperature,Occasional,Summer,Finger Food,Suburban,High,35,265,11.67,350,12250,No,High,Small
Fruits,250,Social Gathering,350,Refrigerated,Regular,Winter,Sit-Down Dinner,Suburban,High,40,310,11.43,350,14000,No,High,Medium
Vegetables,300,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Rural,Low,20,380,5.0,120,2400,Yes,Medium,Medium
Fruits,342,Social Gathering,405,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,29,376,7.16,220,6380,Yes,Medium,Medium
Dairy Products,280,Birthday,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,20,330,5.71,120,2400,Yes,Medium,Medium
Baked Goods,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Urban,High,35,415,7.78,350,12250,No,High,Medium
Baked Goods,250,Social Gathering,350,Room Temperature,Occasional,Summer,Buffet,Suburban,Low,10,340,2.86,120,1200,Yes,Low,Medium
Dairy Products,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,15,285,5.0,220,3300,Yes,Low,Small
Baked Goods,320,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,25,375,6.25,220,5500,Yes,Medium,Medium
Vegetables,250,Social Gathering,350,Refrigerated,Regular,Summer,Sit-Down Dinner,Urban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Dairy Products,350,Corporate,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30,420,6.67,350,10500,Yes,Medium,Medium
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Urban,High,50,450,10.0,350,17500,No,High,Large
Dairy Products,439,Social Gathering,459,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,39,420,8.5,120,4680,No,High,Large
Dairy Products,300,Wedding,400,Room Temperature,Regular,Winter,Sit-Down Dinner,Suburban,Moderate,25,375,6.25,220,5500,Yes,Medium,Medium
Dairy Products,280,Wedding,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Baked Goods,220,Social Gathering,300,Room Temperature,Regular,Winter,Sit-Down Dinner,Suburban,Low,15,285,5.0,120,1800,Yes,Low,Small
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Suburban,High,40,360,10.0,350,14000,No,High,Medium
Fruits,230,Social Gathering,500,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Suburban,Low,20,480,4.0,120,2400,Yes,Medium,Small
Dairy Products,350,Birthday,450,Room Temperature,Regular,Summer,Sit-Down Dinner,Suburban,Moderate,25,425,5.56,220,5500,Yes,Medium,Medium
Dairy Products,400,Social Gathering,450,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30,420,6.67,220,6600,Yes,Medium,Large
Fruits,220,Social Gathering,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,285,5.0,220,3300,Yes,Low,Small
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25,375,6.25,220,5500,Yes,Medium,Medium
Fruits,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Fruits,320,Birthday,480,Refrigerated,Regular,Summer,Buffet,Rural,High,40,440,8.33,350,14000,No,High,Medium
Meat,220,Wedding,300,Refrigerated,Regular,Summer,Sit-Down Dinner,Urban,Low,15,285,5.0,120,1800,Yes,Low,Small
Meat,434,Wedding,495,Refrigerated,Regular,Winter,Sit-Down Dinner,Urban,Low,36,459,7.27,120,4320,No,High,Large
Vegetables,472,Corporate,489,Refrigerated,Occasional,Winter,Buffet,Urban,Low,36,453,7.36,120,4320,No,High,Large
Meat,250,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Urban,High,30,320,8.57,350,10500,Yes,Medium,Medium
Fruits,220,Wedding,300,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,15,285,5.0,220,3300,Yes,Low,Small
Meat,320,Corporate,400,Refrigerated,Regular,Summer,Sit-Down Dinner,Suburban,High,35,365,8.75,350,12250,No,High,Medium
Vegetables,350,Wedding,450,Refrigerated,Occasional,Summer,Finger Food,Rural,High,30,420,6.67,350,10500,Yes,Medium,Medium
Meat,400,Corporate,400,Refrigerated,Regular,Summer,Sit-Down Dinner,Suburban,High,40,360,10.0,350,14000,No,High,Large
Fruits,320,Corporate,480,Refrigerated,Occasional,All Seasons,Buffet,Suburban,High,40,440,8.33,350,14000,No,High,Medium
Vegetables,280,Corporate,350,Refrigerated,Regular,Winter,Buffet,Suburban,Moderate,24,326,6.86,220,5280,Yes,Medium,Medium
Fruits,292,Birthday,470,Room Temperature,Regular,Winter,Sit-Down Dinner,Urban,High,50,420,10.64,350,17500,No,High,Medium
Meat,208,Wedding,282,Room Temperature,Regular,Summer,Sit-Down Dinner,Urban,Moderate,22,260,7.8,220,4840,Yes,Medium,Small
Fruits,250,Corporate,350,Refrigerated,Regular,Winter,Sit-Down Dinner,Urban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Meat,320,Birthday,400,Room Temperature,Regular,Summer,Sit-Down Dinner,Suburban,High,35,365,8.75,350,12250,No,High,Medium
Meat,320,Corporate,400,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,20,380,5.0,220,4400,Yes,Medium,Medium
Vegetables,220,Wedding,300,Refrigerated,Occasional,Summer,Finger Food,Rural,Moderate,15,285,5.0,220,3300,Yes,Low,Small
Baked Goods,302,Corporate,371,Room Temperature,Occasional,Winter,Buffet,Suburban,Low,27,344,7.28,120,3240,Yes,Medium,Medium
Vegetables,250,Social Gathering,350,Refrigerated,Regular,Summer,Buffet,Rural,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Baked Goods,267,Wedding,393,Room Temperature,Regular,Winter,Sit-Down Dinner,Urban,Low,24,369,6.11,120,2880,Yes,Medium,Medium
Fruits,453,Wedding,484,Refrigerated,Regular,All Seasons,Sit-Down Dinner,Suburban,High,54,430,11.16,350,18900,No,High,Large
Vegetables,400,Social Gathering,500,Room Temperature,Regular,Summer,Buffet,Rural,High,30,470,6.0,350,10500,Yes,Medium,Large
Meat,300,Wedding,400,Refrigerated,Occasional,Summer,Sit-Down Dinner,Suburban,Moderate,15,385,3.75,220,3300,Yes,Low,Medium
Baked Goods,220,Wedding,300,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15,285,5.0,220,3300,Yes,Low,Small
Baked Goods,300,Birthday,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40,440,8.33,350,14000,No,High,Medium
Fruits,280,Social Gathering,350,Refrigerated,Regular,All Seasons,Finger Food,Rural,Low,20,330,5.71,120,2400,Yes,Medium,Medium
Dairy Products,290,Corporate,374,Room Temperature,Regular,Winter,Finger Food,Rural,Low,27,347,7.22,120,3240,Yes,Medium,Medium
Meat,438,Corporate,493,Refrigerated,Occasional,Winter,Sit-Down Dinner,Suburban,Moderate,35,458,7.1,220,7700,No,High,Large
Baked Goods,350,Birthday,450,Room Temperature,Regular,Winter,Sit-Down Dinner,Urban,High,45,405,10.0,350,15750,No,High,Medium
Vegetables,300,Corporate,450,Refrigerated,Regular,All Seasons,Sit-Down Dinner,Urban,High,35,415,7.78,350,12250,No,High,Medium
Baked Goods,300,Corporate,400,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,15,385,3.75,220,3300,Yes,Low,Medium
Dairy Products,300,Wedding,400,Room Temperature,Regular,Winter,Sit-Down Dinner,Urban,High,35,365,8.75,350,12250,No,High,Medium
Fruits,267,Social Gathering,393,Room Temperature,Regular,Winter,Sit-Down Dinner,Urban,Low,24,369,6.11,120,2880,Yes,Medium,Medium
Fruits,300,Birthday,400,Room Temperature,Regular,Summer,Sit-Down Dinner,Suburban,Moderate,25,375,6.25,220,5500,Yes,Medium,Medium
Meat,342,Social Gathering,405,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,29,376,7.16,220,6380,Yes,Medium,Medium
Fruits,350,Birthday,450,Room Temperature,Regular,Summer,Sit-Down Dinner,Suburban,Moderate,25,425,5.56,220,5500,Yes,Medium,Medium
Fruits,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-Down Dinner,Rural,High,40,460,8.0,350,14000,No,High,Large
Vegetables,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,285,5.0,220,3300,Yes,Low,Small
Vegetables,320,Social Gathering,400,Refrigerated,Regular,Summer,Sit-Down Dinner,Urban,High,35,365,8.75,350,12250,No,High,Medium
Dairy Products,491,Birthday,497,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,32,465,6.44,350,11200,No,Medium,Large
Fruits,250,Wedding,350,Room Temperature,Occasional,Winter,Sit-Down Dinner,Suburban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Meat,350,Social Gathering,450,Room Temperature,Regular,Winter,Sit-Down Dinner,Suburban,High,35,415,7.78,350,12250,No,High,Medium
Dairy Products,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15,285,5.0,120,1800,Yes,Low,Small
Baked Goods,380,Social Gathering,480,Room Temperature,Regular,Summer,Buffet,Suburban,Moderate,30,450,6.25,220,6600,Yes,Medium,Medium
Vegetables,250,Wedding,350,Refrigerated,Regular,All Seasons,Sit-Down Dinner,Suburban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Dairy Products,400,Wedding,500,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Urban,High,50,450,10.0,350,17500,No,High,Large
Dairy Products,250,Corporate,400,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Urban,Low,25,375,6.25,120,3000,Yes,Medium,Medium
Baked Goods,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-Down Dinner,Urban,High,50,450,10.0,350,17500,No,High,Large
Baked Goods,240,Wedding,450,Room Temperature,Occasional,All Seasons,Sit-Down Dinner,Suburban,Low,20,430,4.44,120,2400,Yes,Medium,Small
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Dairy Products,453,Corporate,484,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Urban,High,54,430,11.16,350,18900,No,High,Large
Dairy Products,380,Social Gathering,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30,450,6.25,220,6600,Yes,Medium,Medium
Baked Goods,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-Down Dinner,Suburban,High,35,465,7.0,350,12250,No,High,Medium
Dairy Products,250,Birthday,350,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Suburban,High,40,310,11.43,350,14000,No,High,Medium
Vegetables,220,Social Gathering,300,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,15,285,5.0,220,3300,Yes,Low,Small
Fruits,270,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Suburban,High,40,360,10.0,350,14000,No,High,Medium
Dairy Products,280,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,24,376,6.0,220,5280,Yes,Medium,Medium
Baked Goods,208,Social Gathering,282,Room Temperature,Regular,Summer,Sit-Down Dinner,Urban,Moderate,22,260,7.8,220,4840,Yes,Medium,Small
Baked Goods,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15,335,4.29,220,3300,Yes,Low,Medium
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Urban,Moderate,30,370,7.5,220,6600,Yes,Medium,Medium
Dairy Products,310,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,35,315,10.0,350,12250,No,High,Medium
Baked Goods,380,Social Gathering,400,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25,375,6.25,220,5500,Yes,Medium,Medium
Baked Goods,434,Social Gathering,495,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Suburban,Low,36,459,7.27,120,4320,No,High,Large
Meat,284,Wedding,443,Refrigerated,Regular,Summer,Buffet,Urban,Low,32,411,7.22,120,3840,No,Medium,Medium
Meat,250,Wedding,350,Refrigerated,Regular,Summer,Buffet,Urban,Low,10,340,2.86,120,1200,Yes,Low,Medium
Meat,250,Wedding,480,Refrigerated,Regular,Summer,Finger Food,Rural,Low,20,460,4.17,120,2400,Yes,Medium,Medium
Meat,280,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20,330,5.71,120,2400,Yes,Medium,Medium
Meat,300,Corporate,400,Refrigerated,Occasional,Winter,Finger Food,Urban,Low,20,380,5.0,120,2400,Yes,Medium,Medium
Meat,400,Birthday,500,Refrigerated,Regular,Winter,Sit-Down Dinner,Urban,High,45,455,9.0,350,15750,No,High,Large
Meat,300,Corporate,400,Refrigerated,Regular,Summer,Sit-Down Dinner,Urban,High,40,360,10.0,350,14000,No,High,Medium
Fruits,310,Corporate,350,Room Temperature,Regular,Summer,Finger Food,Urban,High,35,315,10.0,350,12250,No,High,Medium
Meat,400,Wedding,350,Room Temperature,Regular,Winter,Sit-Down Dinner,Urban,High,35,315,10.0,350,12250,No,High,Large
Meat,207,Corporate,280,Room Temperature,Regular,Summer,Finger Food,Suburban,High,20,260,7.14,350,7000,Yes,Medium,Small
Fruits,380,Wedding,500,Refrigerated,Occasional,Winter,Sit-Down Dinner,Urban,High,35,465,7.0,350,12250,No,High,Medium
Meat,302,Social Gathering,371,Room Temperature,Regular,Winter,Buffet,Suburban,Low,27,344,7.28,120,3240,Yes,Medium,Medium
Dairy Products,250,Corporate,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,340,2.86,120,1200,Yes,Low,Medium
Baked Goods,280,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15,335,4.29,120,1800,Yes,Low,Medium
Vegetables,350,Birthday,450,Refrigerated,Regular,Winter,Sit-Down Dinner,Urban,High,35,415,7.78,350,12250,No,High,Medium
Fruits,220,Wedding,300,Room Temperature,Regular,Summer,Sit-Down Dinner,Suburban,Low,15,285,5.0,120,1800,Yes,Low,Small
Vegetables,300,Birthday,400,Refrigerated,Occasional,Winter,Finger Food,Suburban,Low,15,385,3.75,120,1800,Yes,Low,Medium
Meat,300,Social Gathering,450,Refrigerated,Regular,Summer,Finger Food,Suburban,High,35,415,7.78,350,12250,No,High,Medium
Fruits,250,Corporate,350,Refrigerated,Regular,All Seasons,Finger Food,Urban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Vegetables,350,Wedding,450,Room Temperature,Regular,Summer,Sit-Down Dinner,Urban,High,40,410,8.89,350,14000,No,High,Medium
Fruits,442,Wedding,482,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Urban,Low,32,450,6.64,120,3840,No,Medium,Large
Fruits,350,Wedding,450,Room Temperature,Regular,Winter,Sit-Down Dinner,Urban,Moderate,25,425,5.56,220,5500,Yes,Medium,Medium
Baked Goods,300,Wedding,400,Room Temperature,Regular,Winter,Sit-Down Dinner,Urban,Low,20,380,5.0,120,2400,Yes,Medium,Medium
Dairy Products,310,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Rural,High,35,315,10.0,350,12250,No,High,Medium
Baked Goods,275,Wedding,388,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,16,372,4.12,120,1920,Yes,Low,Medium
Fruits,310,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,High,35,315,10.0,350,12250,No,High,Medium
Baked Goods,220,Birthday,300,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,15,285,5.0,220,3300,Yes,Low,Small
Dairy Products,380,Wedding,480,Room Temperature,Regular,Summer,Buffet,Suburban,Moderate,30,450,6.25,220,6600,Yes,Medium,Medium
Dairy Products,491,Wedding,497,Room Temperature,Occasional,Summer,Finger Food,Rural,High,32,465,6.44,350,11200,No,Medium,Large
Dairy Products,250,Birthday,350,Room Temperature,Occasional,Winter,Buffet,Rural,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Vegetables,250,Corporate,350,Refrigerated,Occasional,Summer,Sit-Down Dinner,Suburban,High,40,310,11.43,350,14000,No,High,Medium
Fruits,220,Corporate,300,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,20,280,6.67,220,4400,Yes,Medium,Small
Fruits,320,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,375,6.25,220,5500,Yes,Medium,Medium
Fruits,300,Corporate,400,Room Temperature,Occasional,All Seasons,Finger Food,Rural,Moderate,25,375,6.25,220,5500,Yes,Medium,Medium
Baked Goods,250,Corporate,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Meat,300,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,385,3.75,220,3300,Yes,Low,Medium
Baked Goods,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30,370,7.5,350,10500,Yes,Medium,Medium
Meat,208,Social Gathering,282,Refrigerated,Regular,Winter,Sit-Down Dinner,Suburban,Moderate,22,260,7.8,220,4840,Yes,Medium,Small
Baked Goods,438,Corporate,493,Room Temperature,Regular,Winter,Sit-Down Dinner,Urban,Moderate,35,458,7.1,220,7700,No,High,Large
Vegetables,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20,330,5.71,120,2400,Yes,Medium,Medium
Baked Goods,207,Corporate,280,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,20,260,7.14,350,7000,Yes,Medium,Small
Vegetables,453,Social Gathering,484,Refrigerated,Regular,Summer,Sit-Down Dinner,Suburban,High,54,430,11.16,350,18900,No,High,Large
Dairy Products,300,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15,385,3.75,120,1800,Yes,Low,Medium
Vegetables,280,Corporate,350,Refrigerated,Occasional,All Seasons,Finger Food,Suburban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Dairy Products,400,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Rural,High,40,360,10.0,350,14000,No,High,Large
Dairy Products,250,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Baked Goods,250,Social Gathering,350,Room Temperature,Regular,All Seasons,Buffet,Rural,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Dairy Products,250,Corporate,350,Room Temperature,Regular,Winter,Sit-Down Dinner,Urban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Baked Goods,220,Birthday,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,280,6.67,220,4400,Yes,Medium,Small
Vegetables,250,Social Gathering,350,Room Temperature,Regular,Winter,Sit-Down Dinner,Rural,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Dairy Products,342,Social Gathering,405,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,29,376,7.16,220,6380,Yes,Medium,Medium
Vegetables,400,Corporate,500,Room Temperature,Occasional,All Seasons,Sit-Down Dinner,Suburban,High,50,450,10.0,350,17500,No,High,Large
Dairy Products,300,Birthday,400,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Suburban,High,40,360,10.0,350,14000,No,High,Medium
Dairy Products,491,Social Gathering,497,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,32,465,6.44,350,11200,No,Medium,Large
Dairy Products,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-Down Dinner,Suburban,High,35,465,7.0,350,12250,No,High,Medium
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Urban,High,40,360,10.0,350,14000,No,High,Medium
Dairy Products,230,Corporate,500,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Suburban,Moderate,30,470,6.0,220,6600,Yes,Medium,Small
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-Down Dinner,Suburban,Moderate,25,375,6.25,220,5500,Yes,Medium,Medium
Meat,300,Wedding,400,Refrigerated,Regular,Summer,Buffet,Suburban,High,40,360,10.0,350,14000,No,High,Medium
Meat,300,Wedding,400,Refrigerated,Regular,Summer,Finger Food,Urban,Low,20,380,5.0,120,2400,Yes,Medium,Medium
Meat,302,Wedding,371,Refrigerated,Occasional,Summer,Buffet,Suburban,Low,27,344,7.28,120,3240,Yes,Medium,Medium
Vegetables,472,Birthday,489,Refrigerated,Regular,Summer,Buffet,Urban,Low,36,453,7.36,120,4320,No,High,Large
Meat,300,Corporate,400,Refrigerated,Occasional,Winter,Buffet,Suburban,High,40,360,10.0,350,14000,No,High,Medium
Vegetables,250,Wedding,350,Refrigerated,Regular,Winter,Buffet,Suburban,Low,10,340,2.86,120,1200,Yes,Low,Medium
Meat,290,Corporate,374,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,27,347,7.22,120,3240,Yes,Medium,Medium
Meat,434,Corporate,495,Refrigerated,Regular,Summer,Sit-Down Dinner,Urban,Low,36,459,7.27,120,4320,No,High,Large
Fruits,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Urban,Low,15,335,4.29,120,1800,Yes,Low,Medium
Fruits,400,Wedding,500,Refrigerated,Regular,Winter,Sit-Down Dinner,Urban,High,45,455,9.0,350,15750,No,High,Large
Meat,350,Wedding,450,Refrigerated,Regular,Winter,Sit-Down Dinner,Suburban,High,35,415,7.78,350,12250,No,High,Medium
Meat,250,Corporate,350,Room Temperature,Regular,Winter,Finger Food,Suburban,High,30,320,8.57,350,10500,Yes,Medium,Medium
Vegetables,350,Wedding,450,Refrigerated,Regular,Winter,Sit-Down Dinner,Rural,High,35,415,7.78,350,12250,No,High,Medium
Vegetables,280,Wedding,350,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Fruits,302,Corporate,371,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,22,349,5.93,120,2640,Yes,Medium,Medium
Meat,250,Corporate,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,340,2.86,120,1200,Yes,Low,Medium
Meat,280,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Rural,Low,20,330,5.71,120,2400,Yes,Medium,Medium
Meat,320,Birthday,400,Refrigerated,Regular,All Seasons,Buffet,Rural,High,30,370,7.5,350,10500,Yes,Medium,Medium
Fruits,250,Corporate,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10,340,2.86,120,1200,Yes,Low,Medium
Meat,380,Birthday,480,Refrigerated,Regular,Winter,Buffet,Suburban,Moderate,30,450,6.25,220,6600,Yes,Medium,Medium
Meat,380,Corporate,480,Room Temperature,Occasional,Summer,Buffet,Suburban,Moderate,30,450,6.25,220,6600,Yes,Medium,Medium
Meat,280,Corporate,350,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Vegetables,434,Corporate,495,Refrigerated,Regular,Winter,Sit-Down Dinner,Rural,High,36,459,7.27,350,12600,No,High,Large
Meat,250,Social Gathering,350,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Vegetables,320,Social Gathering,480,Refrigerated,Occasional,Winter,Buffet,Rural,High,40,440,8.33,350,14000,No,High,Medium
Baked Goods,442,Wedding,482,Room Temperature,Regular,Summer,Sit-Down Dinner,Urban,Low,32,450,6.64,120,3840,No,Medium,Large
Vegetables,300,Wedding,400,Room Temperature,Regular,Winter,Sit-Down Dinner,Rural,High,35,365,8.75,350,12250,No,High,Medium
Vegetables,280,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Baked Goods,380,Birthday,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30,450,6.25,220,6600,Yes,Medium,Medium
Fruits,292,Corporate,470,Room Temperature,Regular,Winter,Sit-Down Dinner,Suburban,High,50,420,10.64,350,17500,No,High,Medium
Vegetables,320,Corporate,400,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20,380,5.0,220,4400,Yes,Medium,Medium
Meat,261,Wedding,350,Refrigerated,Regular,All Seasons,Sit-Down Dinner,Suburban,Moderate,24,326,6.86,220,5280,Yes,Medium,Medium
Fruits,300,Corporate,400,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,15,385,3.75,220,3300,Yes,Low,Medium
Vegetables,400,Birthday,500,Room Temperature,Regular,Winter,Sit-Down Dinner,Suburban,Low,25,475,5.0,120,3000,Yes,Medium,Large
Fruits,220,Social Gathering,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,15,285,5.0,120,1800,Yes,Low,Small
Baked Goods,400,Birthday,500,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,40,460,8.0,350,14000,No,High,Large
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Rural,High,30,370,7.5,350,10500,Yes,Medium,Medium
Fruits,250,Social Gathering,480,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20,460,4.17,120,2400,Yes,Medium,Medium
Vegetables,280,Wedding,480,Refrigerated,Regular,All Seasons,Sit-Down Dinner,Rural,Moderate,15,465,3.12,220,3300,Yes,Low,Medium
Baked Goods,300,Wedding,400,Room Temperature,Regular,Summer,Sit-Down Dinner,Rural,Low,20,380,5.0,120,2400,Yes,Medium,Medium
Fruits,280,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,330,5.71,220,4400,Yes,Medium,Medium
Fruits,290,Social Gathering,374,Room Temperature,Regular,Winter,Finger Food,Rural,Low,27,347,7.22,120,3240,Yes,Medium,Medium
